train_id,train_name,route_name,station_destination_name,departure_time_utc7,color,destination_time_utc7,station_departure_name,station_departure_id,station_destination_id
1341B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,17:20:00,#E30A16,17:30:00,SAWAH BESAR,SW,JAKK
1334B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:22:00,#E30A16,18:38:00,SAWAH BESAR,SW,BOO
1343B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,17:26:00,#E30A16,17:38:00,SAWAH BESAR,SW,JAKK
1336B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:30:00,#E30A16,18:48:00,SAWAH BESAR,SW,BOO
1345B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,17:30:00,#E30A16,17:42:00,SAWAH BESAR,SW,JAKK
1347B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,17:33:00,#E30A16,17:46:00,SAWAH BESAR,SW,JAKK
1338B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:34:00,#E30A16,18:53:00,SAWAH BESAR,SW,BOO
1340B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:38:00,#E30A16,18:58:00,SAWAH BESAR,SW,BOO
1349C,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,17:43:00,#E30A16,17:55:00,SAWAH BESAR,SW,JAKK
1342B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:45:00,#E30A16,19:03:00,SAWAH BESAR,SW,BOO
1351B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,17:50:00,#E30A16,18:02:00,SAWAH BESAR,SW,JAKK
1344B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:54:00,#E30A16,19:12:00,SAWAH BESAR,SW,BOO
1353C,COMMUTER LINE BOGOR,DEPOK-JAKARTAKOTA,JAKARTAKOTA,17:55:00,#E30A16,18:09:00,SAWAH BESAR,SW,JAKK
1346B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:59:00,#E30A16,19:16:00,SAWAH BESAR,SW,BOO
1355B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,18:01:00,#E30A16,18:14:00,SAWAH BESAR,SW,JAKK
1348B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,18:06:00,#E30A16,19:24:00,SAWAH BESAR,SW,BOO
1357B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,18:10:00,#E30A16,18:20:00,SAWAH BESAR,SW,JAKK
1350B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,18:12:00,#E30A16,19:29:00,SAWAH BESAR,SW,BOO
1359B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,18:17:00,#E30A16,18:28:00,SAWAH BESAR,SW,JAKK
1352B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,18:18:00,#E30A16,19:38:00,SAWAH BESAR,SW,BOO
1517B,COMMUTER LINE BOGOR,NAMBO-JAKARTAKOTA,JAKARTAKOTA,18:25:00,#E30A16,18:35:00,SAWAH BESAR,SW,JAKK
